エピソードのタイトル,ストリーミング数とダウンロード数,ランク,Episode URI
非KPC耐性メカニズムに対するβ-ラクタム/β-ラクタマーゼ阻害薬の有効性 Part 1 腸内細菌目・緑膿菌　CID,29,189,spotify:episode:0uvF6KjRvCUPcMbUsVpq6A
アジスロマイシン集団投与のメリットとリスク　Lancet,29,190,spotify:episode:5JpvAO1ZwQHzZ59XLoBoL9
JN.1系統対応mRNA COVID-19ワクチンの安全性に関する全国コホート研究　JAMA Network Open,27,191,spotify:episode:3dH2qmC0j5pemWu9ZNBEED
イベルメクチンによるマラリア制御のためのクラスタ無作為化試験　NEJM,27,192,spotify:episode:1hnW9cftxkufPIy1OBAd1B
プレXDR結核に対する新規治療レジメンの臨床試験（ENDTB‑Q試験）　The Lancet Respiratory Medicine,27,193,spotify:episode:1d0RBLBxz4tTSoJfwgzphR
レビュー：HIVパンデミックを理解し抑制するための系統学と分子進化学　Nature Reviews Microbiology,27,194,spotify:episode:6MLWJpSQc8p1aWVqNFlnlk
免疫抑制状態におけるペギウイルス関連脳脊髄炎　NEJM,26,195,spotify:episode:7bVrNJVQVkSsYMUrDer5Kz
レビュー：SARS‑CoV‑2スパイクタンパク質の構造・ウイルス侵入メカニズム・変異株の特徴　Nature Reviews Microbiology,26,196,spotify:episode:3tNFNHDyEQ9InSLva4H0jY
バングラデシュのコウモリ由来SARS‑CoV‑1類似ウイルスのゲノム監視　EID,25,197,spotify:episode:6jCO9anzQQXPdjX2DKiq0t
Clade Ibエムポックスウイルスの空気および表面サンプリング　Eurosurveillance,25,198,spotify:episode:6kJXBUArQirRbdLmhTkPXv
レビュー：ヒトマイクロバイオームの獲得と伝播メカニズム　Nature Reviews Microbiology,24,199,spotify:episode:7J6UhoFLgjiYsX4IkS9ccq
アジスロマイシン集団投与によるサハラ以南アフリカの小児の死亡率への影響　NEJM,21,200,spotify:episode:5iwD0oWiRaGcsmSSgMOjCM
